posx,posy,ay,ax,az,my,mx,mz
62,-1,-0.0825,0.045,-1.0775000000000001,13.165,-71.1125,29.21
62,0,0.06,-0.255,-0.865,-9.4275,-1115302.7475,55.00749999999999
62,0,-0.0125,-0.03,-1.04,14.510000000000002,-63.7375,45.02
62,0,-0.1025,0.07500000000000001,-1.045,20.82,-66.9975,37.5925
62,1,0.2225,-0.17500000000000002,-0.9674999999999999,9.5475,-46.587500000000006,61.305
62,1,-0.10250000000000001,-0.17,-1.0575,3.67,-69.9425,50.625
62,1,-0.19,0.11000000000000001,-1.05,15.0025,-1115317.8649999998,37.1125
62,2,0.015,-0.16999999999999998,-1.06,0.7975000000000003,-65.09,55.697500000000005
62,2,-0.035,-0.049999999999999996,-0.9925,10.3475,-64.845,51.85249999999999
62,2,-0.2175,0.0625,-1.0475,18.307499999999997,-72.5875,38.927499999999995
62,3,0.13,-0.23249999999999998,-1.045,-3.6075,-54.1475,63.6025
62,3,0.030000000000000002,-0.0075,-1.07,14.3875,-60.415000000000006,56.0175
62,3,-0.215,0.18,-1.0125,20.575,-77.4425,38.7675
61,-1,0.0775,-0.09,-1.07,15.125,-68.655,37.324999999999996
61,-1,-0.035,-0.1325,-1.0475,0.3675,-75.8475,33.535000000000004
61,-1,-0.0325,0.045,-1.0550000000000002,20.084999999999997,-68.10249999999999,25.1
61,0,0.15750000000000003,-0.007500000000000001,-1.0375,7.405,-64.7175,42.239999999999995
61,0,0.0325,0.015,-0.9825,8.327499999999999,-68.9575,41.9725
61,0,-0.2425,-0.025,-0.985,10.6525,-76.9525,22.4275
61,1,-0.030000000000000006,0.005,-1.0725,12.8575,-63.182500000000005,42.08
61,1,0.04,-0.0775,-1.085,6.0,-65.64250000000001,52.01499999999999
61,1,-0.21,0.0625,-1.0175,9.9175,-77.93249999999999,33.215
61,2,0.0025000000000000022,-0.09,-1.0475,3.055,-65.89,52.44
61,2,0.03000000000000001,-0.065,-1.0325,5.385,-64.28750000000001,51.8
61,2,-0.20249999999999999,0.09250000000000001,-1.0375,12.245,-74.86,40.4775
61,3,0.275,0.0675,-1.0550000000000002,22.7175,-37.43,57.834999999999994
61,3,-0.02,-0.2075,-1.045,-1.9000000000000004,-65.3375,55.912499999999994
61,3,-0.24999999999999997,0.0425,-1.12,9.915,-75.9675,40.050000000000004
60,-1,0.10749999999999998,-0.06,-1.0775000000000001,10.47,-75.905,34.55
60,-1,0.0675,-0.06,-1.0775000000000001,-2.6949999999999994,-75.6,34.605000000000004
60,-1,-0.185,0.0325,-1.0050000000000001,9.059999999999999,-79.9025,18.7925
60,0,-0.01,0.025,-1.1400000000000001,9.55,-74.125,36.635000000000005
60,0,0.10750000000000001,-0.0475,-1.055,9.0625,-71.5425,39.30499999999999
60,0,-0.14250000000000002,-0.04,-1.0925,0.7349999999999999,-83.3425,30.3275
60,1,0.13,-0.15,-1.095,6.92,-61.5225,51.1025
60,1,-0.037500000000000006,-0.1275,-1.0425,7.895,-70.005,47.475
60,1,-0.1625,-0.054999999999999986,-0.78,-12.067499999999999,-58.4525,43.095
60,2,0.1475,-0.052500000000000005,-1.04,-0.8575000000000002,-62.565,57.245
60,2,0.05500000000000001,-0.14250000000000002,-1.0975,4.955,-1115309.6925,54.7375
60,2,-0.2075,-0.025,-1.035,4.345,-80.3325,41.4925
60,3,0.085,-0.07500000000000001,-1.05,0.8575,-66.135,54.894999999999996
60,3,0.05,-0.2825,-1.0724999999999998,-23.2675,-70.1925,52.2275
60,3,-0.17,0.045,-1.0425,3.0575,-1115317.255,43.254999999999995
59,-1,0.035,-0.07750000000000001,-0.9575,2.3275000000000006,-77.8125,41.44
59,-1,-0.022500000000000003,-0.10250000000000001,-1.0725,3.1825,-78.4275,42.9325
59,-1,-0.22000000000000003,0.11249999999999999,-1.0350000000000001,15.185,-84.3275,24.5625
59,0,0.185,-0.255,-0.9624999999999999,-12.917499999999999,-1115303.48,62.1075
59,0,0.0075,-0.1575,-1.0750000000000002,2.75,-71.72500000000001,52.815
59,0,-0.08750000000000001,0.09,-1.0250000000000001,8.692499999999999,-75.8425,38.662499999999994
59,1,0.024999999999999998,0.0,-1.0350000000000001,10.407499999999999,-65.03,47.4225
59,1,-0.0625,-0.15000000000000002,-1.03,0.12249999999999997,-1115314.24,46.78
59,1,-0.19,0.0475,-0.9724999999999999,13.8375,-76.70500000000001,35.67
59,2,0.095,-0.1825,-1.025,-4.4075,-63.3075,59.705
59,2,-0.0925,-0.08249999999999999,-1.0675,8.6325,-74.92250000000001,45.12
59,2,-0.14500000000000002,0.035,-1.015,9.245000000000001,-77.995,42.67
59,3,0.05500000000000001,-0.019999999999999997,-1.0325000000000002,10.3475,-68.5325,48.8625
59,3,0.08000000000000002,-0.1,-0.9875,-3.305,-69.94500000000001,53.2925
59,3,-0.045,0.0,-1.06,11.325000000000001,-72.71249999999999,48.86
58,-1,-0.009999999999999998,-0.0375,-1.045,0.55,-78.61,31.775000000000002
58,-1,0.08,-0.1625,-0.8999999999999999,-10.045000000000002,-47.735,40.85
58,-1,-0.0875,-0.14250000000000002,-1.0475,-1.5325000000000002,-53.082499999999996,32.3725
58,-1,-0.23750000000000002,-0.0175,-1.0375,-12.925,-52.7375,23.84
58,0,0.1375,-0.1275,-1.0125,7.78,-34.6825,54.11
58,0,-0.0975,-0.16250000000000003,-0.9775,8.879999999999999,-49.5175,39.9975
58,0,-0.16999999999999998,0.1175,-1.035,16.6025,-49.1725,32.370000000000005
58,1,0.07250000000000001,0.057499999999999996,-0.9199999999999999,18.869999999999997,-35.545,46.4275
58,1,-0.025,-0.17,-1.0375,13.54,-41.582499999999996,48.30499999999999
58,1,-0.2025,0.0425,-1.0675,14.395,-52.967499999999994,34.42
58,2,0.1925,-0.095,-1.07,14.2125,-31.975,55.7575
58,2,-0.165,-0.1875,-1.0375,11.76,-1043651.4650000001,42.900000000000006
58,2,-0.2525,0.0725,-1.06,25.795,-49.2875,32.03
58,3,0.08249999999999999,0.07,-1.0175,24.139999999999997,-36.004999999999995,47.112500000000004
58,3,-0.10750000000000001,-0.0325,-1.0775,17.8875,-49.0,37.325
58,3,-0.20500000000000002,0.0225,-1.2225,23.097499999999997,-1043652.6725,32.26
57,-1,0.04,-0.07,-1.01,0.7925000000000002,-33.8725,51.0325
57,-1,0.03,-0.015000000000000001,-1.035,10.4725,-38.4775,47.28
57,-1,-0.05,0.09250000000000001,-1.0975,13.3525,-40.375,40.28
57,0,0.0825,0.03,-1.0150000000000001,11.145,-33.4725,49.957499999999996
57,0,-0.04499999999999999,-0.0675,-1.0,-6.1875,-28.64,35.332499999999996
57,0,-0.13,0.065,-1.115,13.537500000000001,-45.0325,42.84
57,1,-0.0375,0.11,-1.0450000000000002,21.259999999999998,-37.7875,45.462500000000006
57,1,-0.049999999999999996,-0.16249999999999998,-1.06,9.620000000000001,-31.5175,38.29
57,1,-0.065,0.0225,-1.01,13.235,-2087253.8725,46.3125
57,2,0.012499999999999997,-0.0175,-1.045,11.209999999999999,-29.1,38.405
57,2,0.16999999999999998,-0.2125,-0.8825000000000001,18.689999999999998,-26.627499999999998,58.775
57,2,-0.030000000000000002,-0.16250000000000003,-1.01,19.7875,-33.53,54.4525
57,3,-0.0675,0.0,-0.9400000000000001,22.855,-44.917500000000004,36.4675
57,3,0.07250000000000001,-0.045000000000000005,-0.9550000000000001,28.370000000000005,-35.37,46.825
57,3,-0.11750000000000001,-0.0975,-1.0550000000000002,26.04,-42.6175,44.8925
56,-1,-0.10500000000000001,0.049999999999999996,-1.0725,26.4075,-39.279999999999994,41.2475
56,-1,0.12250000000000001,-0.41250000000000003,-1.03,3.86,-24.092499999999998,56.615
56,-1,0.0725,-0.22250000000000003,-1.0350000000000001,0.0,-31.17,49.730000000000004
56,0,-0.1775,-0.025000000000000005,-1.025,10.5975,-39.05,39.9975
56,0,0.0,-0.0875,-0.9774999999999999,14.885,-32.61,50.24249999999999
56,0,-0.0024999999999999953,-0.12,-1.0225,7.415,-37.44,47.85
56,1,-0.029999999999999992,0.06999999999999999,-1.0375,23.28,-36.4625,46.4275
56,1,0.045,-0.1275,-1.1075,13.600000000000001,-26.9125,59.515
56,1,-0.05249999999999999,-0.11249999999999999,-0.9574999999999999,16.845,-35.6025,52.29
56,2,-0.0475,0.08500000000000002,-1.0724999999999998,20.277499999999996,-32.4975,53.995000000000005
56,2,0.025,-0.2025,-1.0625,10.66,-34.625,58.15
56,2,0.0225,-0.022499999999999996,-1.0450000000000002,23.7725,-32.785000000000004,55.762499999999996
56,3,0.015000000000000001,-0.0075,-1.0125,25.487499999999997,-34.625,53.370000000000005
56,3,0.025000000000000005,-0.0575,-1.03,29.53,-32.089999999999996,50.8675
56,3,-0.0525,-0.075,-0.9775,27.2025,-37.269999999999996,52.11750000000001
55,-1,-0.022500000000000013,-0.017499999999999998,-1.0875000000000001,22.792499999999997,-30.939999999999998,50.412499999999994
55,-1,0.0049999999999999975,-0.2175,-1.0625,7.960000000000001,-26.57,56.1025
55,-1,-0.007499999999999996,-0.052500000000000005,-1.06,9.004999999999999,-29.965,56.1575
55,0,0.06999999999999999,0.027499999999999997,-1.0475,12.19,-26.395000000000003,58.31999999999999
55,0,-0.0025000000000000044,0.0325,-1.0550000000000002,15.129999999999999,-30.537499999999998,53.9925
55,0,-0.085,-0.037500000000000006,-1.085,16.357499999999998,-35.0275,48.99
55,1,0.065,-0.010000000000000002,-1.04,1.4850000000000012,-34.5275,49.795
55,1,0.0325,-0.245,-0.9425,9.3725,-25.2425,58.775
55,1,-0.2275,0.012499999999999997,-1.0025000000000002,22.729999999999997,-1043648.0725,41.019999999999996
55,2,0.057499999999999996,0.1,-0.9500000000000001,4.802500000000002,-26.372500000000002,52.0175
55,2,0.30000000000000004,-0.2125,-1.025,13.3575,-11.729999999999999,69.98750000000001
55,2,0.0275,-0.1525,-1.0225,16.91,-27.255,63.7275
55,3,-0.195,-0.03749999999999999,-1.0325,21.627499999999998,-40.5475,52.06249999999999
55,3,0.1075,-0.0575,-1.0325000000000002,24.875,-25.07,58.72
55,3,-0.065,-0.29500000000000004,-1.04,19.9125,-28.927500000000002,63.215
54,-1,-0.14500000000000002,0.095,-1.0575,40.44,-32.21,52.68750000000001
54,-1,-0.37249999999999994,0.285,-1.0975,27.45,-22.6575,42.1025
54,-1,0.27,-0.12000000000000001,-0.9875,-5.085,-13.3975,61.05250000000001
54,-1,0.01,-0.31,-0.9750000000000001,-7.1625,-28.4675,53.084999999999994
54,0,0.045,-0.0575,-1.0775000000000001,13.965,-27.027500000000003,52.685
